iter	Passed	Remaining
0	215	215485
1	217	108456
2	235	78378
3	243	60642
4	247	49218
5	267	44346
6	280	39797
7	323	40078
8	353	38898
9	355	35233
10	358	32229
11	361	29771
12	364	27648
13	366	25844
14	369	24279
15	372	22899
16	373	21614
17	377	20572
18	379	19617
19	383	18768
20	385	17987
21	388	17276
22	391	16640
23	394	16026
24	397	15487
25	399	14948
26	400	14439
27	403	14013
28	406	13618
29	461	14906
30	490	15324
31	597	18068
32	692	20290
33	700	19909
34	706	19488
35	710	19013
36	746	19419
37	811	20538
38	820	20229
39	874	20990
40	921	21542
41	923	21072
42	926	20623
43	929	20199
44	932	19794
45	935	19405
46	939	19041
47	943	18705
48	946	18366
49	949	18034
50	952	17714
51	954	17408
52	958	17124
53	960	16827
54	964	16566
55	967	16309
56	970	16058
57	974	15821
58	976	15576
59	979	15343
60	982	15118
61	984	14898
62	987	14683
63	989	14475
64	991	14266
65	993	14065
66	996	13879
67	999	13697
68	1001	13511
69	1003	13329
70	1004	13145
71	1007	12982
72	1009	12824
73	1012	12671
74	1015	12525
75	1018	12381
76	1020	12234
77	1023	12095
78	1025	11960
79	1028	11831
80	1031	11703
81	1033	11575
82	1036	11448
83	1038	11328
84	1041	11212
85	1044	11096
86	1045	10975
87	1048	10868
88	1051	10759
89	1053	10655
90	1056	10551
91	1059	10454
92	1062	10357
93	1065	10269
94	1068	10179
95	1071	10091
96	1099	10231
97	1176	10826
98	1205	10969
99	1244	11198
100	1247	11101
101	1251	11015
102	1254	10925
103	1257	10831
104	1261	10748
105	1264	10668
106	1267	10575
107	1268	10480
108	1270	10388
109	1273	10301
110	1276	10220
111	1278	10134
112	1281	10058
113	1284	9980
114	1287	9905
115	1290	9834
116	1293	9760
117	1297	9697
118	1300	9631
119	1338	9817
120	1393	10123
121	1397	10057
122	1476	10529
123	1518	10730
124	1523	10663
125	1526	10586
126	1529	10514
127	1532	10439
128	1535	10365
129	1537	10292
130	1540	10220
131	1543	10148
132	1546	10080
133	1564	10110
134	1580	10126
135	1586	10078
136	1605	10115
137	1615	10093
138	1621	10040
139	1624	9981
140	1627	9912
141	1630	9854
142	1633	9791
143	1636	9731
144	1639	9669
145	1642	9607
146	1645	9546
147	1648	9488
148	1651	9429
149	1654	9373
150	1657	9317
151	1659	9260
152	1663	9208
153	1666	9154
154	1669	9100
155	1672	9047
156	1674	8990
157	1677	8938
158	1679	8882
159	1682	8832
160	1685	8783
161	1688	8736
162	1691	8683
163	1693	8633
164	1695	8580
165	1698	8532
166	1700	8484
167	1703	8437
168	1706	8390
169	1709	8346
170	1712	8301
171	1715	8258
172	1717	8212
173	1719	8164
174	1722	8122
175	1726	8081
176	1729	8041
177	1732	8002
178	1735	7958
179	1738	7919
180	1741	7877
181	1745	7845
182	1748	7807
183	1751	7769
184	1755	7733
185	1758	7693
186	1761	7657
187	1762	7614
188	1765	7576
189	1767	7536
190	1770	7500
191	1772	7460
192	1775	7423
193	1778	7391
194	1784	7367
195	1786	7329
196	1791	7300
197	1792	7261
198	1796	7231
199	1800	7201
200	1803	7170
201	1807	7138
202	1810	7109
203	1813	7074
204	1816	7042
205	1820	7016
206	1823	6985
207	1826	6953
208	1829	6922
209	1830	6887
210	1834	6859
211	1837	6828
212	1839	6797
213	1842	6768
214	1847	6743
215	1850	6714
216	1853	6688
217	1856	6658
218	1859	6631
219	1862	6603
220	1865	6575
221	1869	6550
222	1871	6521
223	1875	6496
224	1880	6476
225	1883	6449
226	1887	6427
227	1889	6399
228	1893	6375
229	1897	6353
230	1900	6326
231	1905	6308
232	1908	6283
233	1911	6256
234	1914	6231
235	1918	6210
236	1921	6186
237	1924	6162
238	1927	6137
239	1930	6113
240	1933	6089
241	1937	6068
242	1939	6043
243	1943	6020
244	1947	6001
245	1951	5981
246	1953	5956
247	1956	5933
248	1959	5909
249	1962	5887
250	1966	5867
251	1970	5850
252	1975	5831
253	1977	5808
254	1981	5787
255	1989	5782
256	1994	5765
257	1996	5740
258	2002	5728
259	2006	5711
260	2010	5692
261	2013	5672
262	2016	5650
263	2020	5633
264	2023	5612
265	2026	5592
266	2029	5572
267	2035	5560
268	2038	5540
269	2042	5522
270	2045	5502
271	2048	5483
272	2051	5464
273	2054	5443
274	2056	5422
275	2058	5401
